delay,drop,filesize,tcp,bandwidth,time
200,0.1,0.19MB,"vegas",lowest,4.02
0,0.2,0.19MB,"vegas",lowest,1.61
50,0.2,0.19MB,"vegas",lowest,1.75
100,0.2,0.19MB,"vegas",lowest,2.284
200,0.2,0.19MB,"vegas",lowest,3.568
0,0,1.04MB,"vegas",lowest,9.381
50,0,1.04MB,"vegas",lowest,9.552
100,0,1.04MB,"vegas",lowest,10.036
200,0,1.04MB,"vegas",lowest,11.753
0,0.1,1.04MB,"vegas",lowest,9.403
50,0.1,1.04MB,"vegas",lowest,9.562
100,0.1,1.04MB,"vegas",lowest,10.366
200,0.1,1.04MB,"vegas",lowest,12.512
0,0.2,1.04MB,"vegas",lowest,9.411
50,0.2,1.04MB,"vegas",lowest,9.662
100,0.2,1.04MB,"vegas",lowest,10.6
200,0.2,1.04MB,"vegas",lowest,14.1
0,0,3.1MB,"vegas",lowest,27.177
50,0,3.1MB,"vegas",lowest,27.318
100,0,3.1MB,"vegas",lowest,27.82
200,0,3.1MB,"vegas",lowest,30.67
0,0.1,3.1MB,"vegas",lowest,27.2
50,0.1,3.1MB,"vegas",lowest,27.72
100,0.1,3.1MB,"vegas",lowest,29.47
200,0.1,3.1MB,"vegas",lowest,32.04
0,0.2,3.1MB,"vegas",lowest,27.21
50,0.2,3.1MB,"vegas",lowest,27.7
100,0.2,3.1MB,"vegas",lowest,30.265
200,0.2,3.1MB,"vegas",lowest,37.89
